crawl	query_url	error
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/Redirect.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2FRedirect.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/paper/BlackAndWhite.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2Fpaper%2FBlackAndWhite.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/cannon.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2Fcannon.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/yoyo.pnq	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2Fyoyo.pnq&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/bonus.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2Fbonus.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/ile.txt	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2File.txt&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/BlackAndWhite.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2FBlackAndWhite.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2008-2009	dreamwardgames.com/theroomz/hof.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2008-2009-index?url=dreamwardgames.com%2Ftheroomz%2Fhof.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/check.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2Fcheck.swf&matchType=exact&output=json: <urlopen error timed out>')
CC-MAIN-2009-2010	theroomz.yoyo.pl/BlackAndWhite.swf	RuntimeError('https://index.commoncrawl.org/CC-MAIN-2009-2010-index?url=theroomz.yoyo.pl%2FBlackAndWhite.swf&matchType=exact&output=json: <urlopen error timed out>')
